,A,B,C,D,E,F,G,H,I,J
0,White,Olden,Lime,Green,Azure,Crimson,Gray,Pea green,Gray,Gray
1,Magenta,Cyan,Fuchsia,Plum,Black,Yellow,Silver,Cyan,Azure,Orange
2,Ivory,Coral,Gray,Pea green,Brown,Purple,Maroon,Silver,Lime,Orange
3,Brown,Hot pink,Navy blue,Khaki,Crimson,Orange,Fuchsia,Azure,Brown,Wheat
4,Coral,Fuchsia,Navy blue,Wheat,Hot pink,Charcoal,Crimson,Teal,Gray,Charcoal
5,Gray,Hot pink,Green,Navy blue,Wheat,Gray,Maroon,Maroon,Olive,Green
6,Magenta,Pea green,Navy blue,Navy blue,Purple,Red,Silver,Coral,Hot pink,Brown
7,Wheat,Brown,Plum,Yellow,Olden,Coral,Red,Red,Blue,Maroon
8,Red,Fuchsia,Yellow,Purple,Crimson,Yellow,Aquamarine,Coral,Olden,Green
9,Orange,Khaki,Olive,Fuchsia,Olden,Green,Aquamarine,Gray,Navy blue,Pea green
10,Plum,Charcoal,Olden,Orange,Olive,Maroon,Coral,Olden,Lime,Teal
11,Hot pink,Orange,Black,Lime,Hot pink,Black,Fuchsia,Maroon,White,Cyan
12,Green,Aquamarine,Plum,Orange,Coral,Black,White,Brown,Crimson,Crimson
13,Cyan,Khaki,Navy blue,Pea green,Purple,Coral,Navy blue,Ivory,Purple,Yellow
14,Navy blue,Brown,Red,Charcoal,Khaki,Yellow,Red,Khaki,Gray,Navy blue
15,Coral,Lime,Plum,Teal,Red,Wheat,Charcoal,Navy blue,Teal,White
16,Khaki,Aquamarine,Red,Blue,Olive,Maroon,Maroon,Cyan,Green,Green
17,Brown,Magenta,White,Fuchsia,Cyan,Fuchsia,Orange,Yellow,Silver,Orange
18,Khaki,Magenta,Magenta,Maroon,Hot pink,White,Red,Teal,Brown,Maroon
19,Magenta,Navy blue,Blue,Olden,Olive,Wheat,Fuchsia,Olive,Fuchsia,Ivory
20,Gray,Teal,Silver,Cyan,Brown,Teal,Green,Fuchsia,Navy blue,Purple
21,Navy blue,Olden,Silver,Azure,Magenta,Teal,Aquamarine,Silver,White,White
22,Blue,Silver,Gray,Teal,Orange,Coral,Red,Fuchsia,Wheat,Orange
23,Lime,Cyan,Ivory,Lime,Teal,Silver,Pea green,Red,Ivory,Silver
24,Olden,Cyan,Yellow,Magenta,Gray,Wheat,Silver,Orange,Navy blue,Olden
25,Orange,Teal,Navy blue,Gray,Lime,Cyan,Brown,Hot pink,Plum,Magenta
26,Orange,Ivory,Hot pink,Wheat,Blue,Blue,Charcoal,Teal,Plum,Khaki
27,Brown,Charcoal,Pea green,Blue,Olden,Purple,Magenta,Black,Navy blue,Cyan
28,Gray,Coral,Coral,White,Crimson,Azure,Silver,Cyan,Fuchsia,Khaki
29,Gray,Gray,White,Olive,Teal,Brown,Crimson,Purple,Lime,Fuchsia
30,Coral,Pea green,Aquamarine,Olive,Olden,White,Magenta,Purple,Teal,Brown
31,Aquamarine,Plum,Black,Hot pink,Purple,Magenta,Blue,Olden,Crimson,Silver
32,Plum,Khaki,Maroon,Fuchsia,Khaki,Wheat,Fuchsia,Azure,Black,Aquamarine
33,Hot pink,Azure,Black,Silver,Gray,Yellow,Ivory,Cyan,Crimson,Coral
34,Blue,Hot pink,Khaki,Orange,Navy blue,Orange,Blue,Hot pink,Hot pink,Blue
35,Hot pink,Aquamarine,Pea green,Wheat,Black,White,Coral,Maroon,Gray,Yellow
36,Magenta,Aquamarine,Fuchsia,Orange,Ivory,Crimson,Gray,Red,Coral,Charcoal
37,Plum,White,Yellow,Khaki,Purple,Cyan,Wheat,Teal,Azure,Aquamarine
38,Blue,Coral,Azure,Pea green,Brown,Green,Red,Olive,Yellow,Silver
39,Wheat,Aquamarine,Olden,Teal,Brown,Teal,Pea green,Yellow,Red,Coral
40,Blue,Crimson,Yellow,Orange,Orange,Aquamarine,Navy blue,Magenta,Plum,Azure
41,Maroon,Hot pink,Lime,Wheat,Blue,Magenta,Navy blue,Pea green,White,Teal
42,White,Hot pink,Ivory,Navy blue,Green,Gray,Crimson,Purple,Olive,Khaki
43,Olive,Aquamarine,Yellow,White,Olive,Maroon,Aquamarine,Maroon,Silver,White
44,Pea green,Cyan,Aquamarine,Olive,Hot pink,Silver,Orange,Gray,White,Fuchsia
45,Blue,Silver,Coral,Ivory,Plum,Orange,Coral,Hot pink,White,Blue
46,Hot pink,Red,Khaki,Olive,Gray,Silver,Magenta,Plum,Blue,Purple
47,Wheat,Red,Teal,Charcoal,Silver,Aquamarine,Wheat,Crimson,Magenta,Charcoal
48,Red,Brown,Fuchsia,Aquamarine,Fuchsia,Olive,Hot pink,Magenta,Brown,Plum
49,Olden,Silver,Khaki,Fuchsia,Brown,Orange,Red,Black,White,Wheat
50,Olden,Navy blue,Blue,Hot pink,Lime,Plum,Maroon,Crimson,White,Teal
