,A,B,C,D,E,F,G,H,I,J
0,Crimson,Yellow,Azure,Aquamarine,Purple,Aquamarine,Azure,Olive,Orange,Plum
1,White,Purple,Black,Aquamarine,Brown,Khaki,Orange,Red,Navy blue,White
2,Orange,Green,Lime,Black,Silver,Ivory,Brown,Wheat,Blue,Cyan
3,Maroon,Cyan,Purple,Ivory,Yellow,Maroon,Navy blue,Aquamarine,Aquamarine,Olden
4,Khaki,Lime,White,Red,Wheat,Orange,Ivory,Hot pink,Silver,Olden
5,Wheat,Khaki,Maroon,Aquamarine,Cyan,Maroon,Olive,White,Green,Gray
6,Maroon,White,Charcoal,Plum,White,Green,Ivory,Teal,Maroon,Olden
7,Cyan,Gray,Navy blue,Cyan,Aquamarine,Wheat,Brown,Olden,Orange,Navy blue
8,Olden,Khaki,Pea green,Crimson,Pea green,Green,Khaki,Brown,Green,Lime
9,Plum,Navy blue,Coral,Teal,Red,Plum,Gray,Orange,Lime,Gray
10,Olive,Aquamarine,Silver,Yellow,Silver,Silver,Ivory,Teal,Navy blue,Wheat
11,Lime,Yellow,Gray,White,Fuchsia,Lime,Magenta,Cyan,Purple,Olive
12,Plum,Teal,White,Green,Charcoal,Charcoal,Olive,Purple,Azure,Gray
13,Cyan,Green,Magenta,Orange,Azure,Magenta,Black,Brown,Wheat,Azure
14,Lime,Silver,Cyan,Plum,Brown,Brown,Olive,Teal,Green,Magenta
15,Olive,Aquamarine,White,Blue,Gray,Olive,Teal,Silver,Cyan,Green
16,Cyan,Olden,Navy blue,Blue,Yellow,Gray,Green,Aquamarine,Ivory,Gray
17,Azure,Red,Charcoal,Crimson,Orange,Blue,Silver,Lime,Crimson,Purple
18,Plum,Magenta,Crimson,Ivory,Aquamarine,Wheat,Red,Green,Olden,Red
19,Silver,Orange,Aquamarine,Fuchsia,Teal,Azure,Olden,Silver,Yellow,Silver
20,Magenta,Lime,Crimson,Coral,Khaki,Khaki,Gray,Crimson,Teal,Maroon
21,Olden,Gray,Hot pink,Lime,Charcoal,Plum,Purple,Brown,Black,Magenta
22,Teal,Purple,Black,Ivory,Gray,Gray,Lime,Navy blue,Lime,Cyan
23,Purple,Olive,Olden,Green,Ivory,Aquamarine,Khaki,Aquamarine,Coral,Blue
24,Maroon,Wheat,Purple,Cyan,Silver,Charcoal,Cyan,Khaki,Fuchsia,Azure
25,Brown,Fuchsia,Magenta,Wheat,Khaki,Brown,Silver,Wheat,Yellow,Black
26,Olden,Olive,White,Aquamarine,Plum,Maroon,Ivory,Lime,Teal,Crimson
27,Fuchsia,Khaki,Charcoal,Olden,Ivory,Fuchsia,White,Pea green,White,Pea green
28,Charcoal,Ivory,Navy blue,Teal,Silver,Pea green,Coral,Purple,Ivory,Lime
29,Black,Azure,Khaki,Yellow,Olive,Olive,Navy blue,Lime,Orange,Pea green
30,Charcoal,Cyan,Pea green,Aquamarine,Cyan,Olden,Lime,Aquamarine,Blue,Black
31,Cyan,Teal,Orange,Yellow,Maroon,Red,Brown,Cyan,Yellow,Fuchsia
32,Red,Silver,Silver,Yellow,Aquamarine,Fuchsia,White,Silver,Khaki,Charcoal
33,Silver,Navy blue,Yellow,Purple,Olden,Purple,Navy blue,Pea green,Olden,Silver
34,Purple,Black,Charcoal,Azure,Lime,Blue,White,Orange,Brown,Brown
35,Silver,White,Blue,Pea green,Olive,Olive,Crimson,Wheat,Plum,Aquamarine
36,Ivory,Crimson,Hot pink,Lime,Coral,Charcoal,Purple,White,Orange,Navy blue
37,Red,Hot pink,Red,Teal,Olden,Fuchsia,Khaki,Black,Lime,Azure
38,Coral,Olden,Charcoal,Khaki,Navy blue,Black,Khaki,Cyan,Gray,Purple
39,Gray,Fuchsia,Wheat,Olive,Lime,Olive,Wheat,Ivory,Red,Orange
40,Orange,Hot pink,Green,Lime,Ivory,Green,Teal,White,Navy blue,Purple
41,Khaki,Plum,Pea green,Azure,Coral,Ivory,Blue,Blue,Fuchsia,Fuchsia
42,Ivory,Hot pink,Olive,Purple,Pea green,Azure,Orange,Olden,Maroon,Orange
43,Lime,White,Navy blue,Gray,Blue,Purple,Khaki,Black,Magenta,Cyan
44,Black,Khaki,Yellow,Green,Yellow,Aquamarine,Hot pink,Teal,Aquamarine,Black
45,Cyan,Silver,Black,Crimson,Charcoal,Khaki,Teal,Magenta,Magenta,Purple
46,Khaki,White,Yellow,Charcoal,Green,Olden,Navy blue,Gray,Pea green,Coral
47,Coral,Coral,Crimson,Navy blue,Yellow,Teal,Charcoal,White,Navy blue,Lime
48,Teal,Yellow,Brown,Brown,Yellow,Pea green,Green,Gray,Green,Ivory
49,Black,White,Blue,Orange,Maroon,Blue,Ivory,Lime,Orange,Aquamarine
50,Purple,White,Purple,Teal,Charcoal,Blue,Teal,Blue,Cyan,Red
51,Azure,Plum,Purple,Purple,Silver,Purple,Fuchsia,Cyan,Maroon,Khaki
52,Green,Black,Charcoal,Navy blue,Brown,Fuchsia,Coral,Magenta,Teal,Wheat
53,Ivory,Wheat,Coral,Silver,Hot pink,Brown,Gray,Silver,Silver,Navy blue
54,Purple,Brown,Black,Blue,Khaki,Brown,Purple,Pea green,White,Crimson
55,Cyan,Olden,Red,Ivory,Coral,Olden,Crimson,Hot pink,Fuchsia,Charcoal
56,Olden,Cyan,Black,Olden,Khaki,Magenta,Blue,Aquamarine,Coral,Brown
57,Charcoal,Yellow,Orange,Navy blue,Brown,Aquamarine,Navy blue,Teal,Wheat,Magenta
58,Olive,Navy blue,Aquamarine,Maroon,Charcoal,Ivory,Silver,Olden,Crimson,Ivory
