,A,B,C,D,E,F,G,H,I,J
0,Coral,Green,Orange,Ivory,Azure,Aquamarine,Maroon,Silver,Silver,Hot pink
1,Coral,Navy blue,Cyan,Blue,Black,Brown,Hot pink,Black,Magenta,Maroon
2,Cyan,White,Fuchsia,Olden,Blue,Red,Olden,Crimson,Magenta,Blue
3,Olive,Navy blue,Coral,Khaki,Plum,Pea green,Olive,Brown,Olive,Cyan
4,Hot pink,Cyan,Aquamarine,Olden,Wheat,Cyan,Red,Brown,Wheat,Cyan
5,Olive,Crimson,Red,Crimson,Olden,Charcoal,Navy blue,Plum,Cyan,Charcoal
6,Charcoal,Blue,Black,Green,Crimson,Plum,Navy blue,Aquamarine,Olive,Magenta
7,Cyan,Olive,Crimson,Red,Olive,Red,Blue,Fuchsia,Orange,Lime
8,Cyan,Lime,Charcoal,Olive,Teal,Hot pink,Hot pink,Charcoal,Maroon,Crimson
9,Ivory,Magenta,Charcoal,Purple,Navy blue,Yellow,Magenta,Charcoal,Purple,Yellow
10,Maroon,Olive,Blue,Pea green,Gray,Yellow,Maroon,Maroon,Fuchsia,Plum
11,Red,Crimson,Khaki,Magenta,Coral,Charcoal,Coral,Yellow,Black,Yellow
12,Gray,Wheat,Gray,Gray,Magenta,Navy blue,Crimson,Fuchsia,Charcoal,Plum
13,Coral,Gray,Khaki,Maroon,Black,Yellow,Teal,Charcoal,White,Crimson
14,Coral,Red,Crimson,Fuchsia,White,Silver,Hot pink,Brown,Azure,Pea green
15,Olden,Charcoal,Wheat,Green,Navy blue,Blue,Lime,Coral,Red,Pea green
16,Yellow,Hot pink,Crimson,Ivory,Fuchsia,Magenta,Green,Magenta,Teal,Olden
17,Azure,Silver,Hot pink,Crimson,Olden,Magenta,Lime,Teal,Navy blue,Purple
18,Blue,Orange,Aquamarine,Hot pink,Azure,Hot pink,Maroon,Purple,Fuchsia,Plum
19,Wheat,Ivory,Red,Plum,Hot pink,Green,Gray,Olive,Black,Khaki
20,Green,Charcoal,Red,Fuchsia,Azure,Khaki,Hot pink,Black,Gray,Maroon
21,Olive,Ivory,Cyan,Magenta,Azure,Silver,Purple,Pea green,Crimson,Silver
22,Charcoal,Silver,White,Maroon,Azure,Crimson,White,Silver,Teal,Olden
23,Gray,Green,Magenta,Blue,Fuchsia,Yellow,Red,Orange,Olden,Blue
24,Gray,Lime,Charcoal,Charcoal,Purple,Coral,Gray,Fuchsia,White,Olden
25,Olden,Lime,Khaki,Silver,Silver,Wheat,Silver,Olive,Charcoal,Yellow
26,Brown,Black,Fuchsia,Teal,Gray,Blue,Plum,Navy blue,Fuchsia,Plum
27,Fuchsia,Magenta,Azure,Olden,Green,Green,Aquamarine,Red,Magenta,Navy blue
28,Cyan,Olden,Black,Khaki,Coral,Orange,Maroon,Plum,Orange,Crimson
29,Gray,Charcoal,Olive,Olden,Maroon,Hot pink,Purple,Teal,Teal,Magenta
30,Fuchsia,White,Charcoal,Charcoal,Cyan,Coral,Orange,Ivory,Silver,Gray
31,Black,Hot pink,Cyan,Orange,Hot pink,Khaki,Aquamarine,Fuchsia,Green,Navy blue
32,Red,Pea green,Hot pink,Charcoal,Coral,Pea green,Cyan,Crimson,Pea green,Magenta
33,Hot pink,Green,Fuchsia,Pea green,Brown,Cyan,Orange,White,Azure,Gray
34,Maroon,Silver,Brown,Plum,Blue,Teal,Pea green,Azure,Teal,Maroon
35,Crimson,White,Crimson,Red,Pea green,Fuchsia,Navy blue,Aquamarine,Wheat,Cyan
36,Purple,Coral,Magenta,Gray,Gray,White,Fuchsia,Hot pink,Red,Olden
37,Purple,Teal,Hot pink,Red,Azure,Pea green,Gray,Hot pink,Olden,Olive
38,Wheat,Pea green,Lime,Black,Hot pink,Coral,Wheat,Magenta,Khaki,Orange
39,Khaki,Blue,Magenta,Khaki,Black,Brown,Pea green,Lime,Navy blue,Gray
40,Maroon,Coral,Crimson,Black,Crimson,Wheat,Orange,Lime,Silver,Red
41,Gray,Navy blue,Black,Lime,Coral,Fuchsia,Maroon,Silver,Navy blue,Red
42,Maroon,Brown,Black,Brown,Azure,Coral,Maroon,Navy blue,Aquamarine,Charcoal
43,Maroon,Ivory,Charcoal,Charcoal,Purple,White,Plum,Brown,Khaki,Charcoal
44,Magenta,Gray,Orange,Magenta,Red,Silver,Azure,Azure,Black,Pea green
45,Aquamarine,Coral,Crimson,Maroon,Fuchsia,Plum,Ivory,Olive,Ivory,Ivory
46,Gray,Lime,Crimson,Wheat,Khaki,Hot pink,Red,Orange,Wheat,Crimson
47,Navy blue,Olive,Azure,Gray,Blue,Olive,Gray,Cyan,Red,Coral
48,Orange,Green,Yellow,Blue,Wheat,Coral,Purple,Navy blue,Khaki,Olden
49,Red,Plum,Silver,Magenta,Black,Lime,Wheat,Aquamarine,Purple,White
50,Khaki,Aquamarine,Hot pink,Orange,Magenta,Fuchsia,Coral,Ivory,White,Crimson
51,Ivory,Azure,Green,Coral,Navy blue,Navy blue,Brown,Olive,Green,Yellow
52,Lime,Green,Orange,Navy blue,Coral,Purple,Pea green,Plum,Purple,Olden
53,Khaki,Hot pink,White,Pea green,Green,Green,Gray,Purple,Teal,White
54,Khaki,Maroon,Crimson,Magenta,Cyan,Teal,White,Gray,Maroon,Black
55,Navy blue,Charcoal,Purple,Red,Khaki,White,Ivory,Ivory,Charcoal,Maroon
