,A,B,C,D,E,F,G,H,I,J
0,Lime,White,Yellow,Maroon,Silver,Hot pink,Plum,Olden,Gray,Plum
1,Black,Pea green,Red,Fuchsia,Olive,Crimson,Charcoal,Red,Pea green,Fuchsia
2,Azure,Wheat,Purple,Red,White,Coral,Navy blue,Green,Purple,Aquamarine
3,Yellow,Olden,Lime,Teal,Charcoal,Red,Black,Teal,Cyan,Charcoal
4,Wheat,Wheat,Lime,Blue,Crimson,Azure,Aquamarine,Fuchsia,Blue,Brown
5,Lime,Gray,Olden,Charcoal,Red,Crimson,Cyan,Charcoal,Brown,Magenta
6,Brown,Coral,Fuchsia,Lime,Wheat,Lime,Coral,Gray,Silver,Magenta
7,Ivory,Maroon,Silver,Coral,Cyan,Silver,White,Magenta,White,Wheat
8,Khaki,Aquamarine,Navy blue,Purple,Crimson,Cyan,Fuchsia,Olive,Pea green,Wheat
9,Crimson,Khaki,Red,Azure,Olive,Red,Green,Teal,Black,White
10,Charcoal,Olive,Black,White,Pea green,Brown,Magenta,Orange,Fuchsia,Silver
11,Teal,Gray,Gray,White,Pea green,Plum,Hot pink,Blue,White,Wheat
12,Fuchsia,Wheat,Purple,Blue,Pea green,Ivory,Blue,Aquamarine,Olive,Wheat
13,Black,Coral,Olive,Purple,Plum,Aquamarine,Maroon,Olive,Brown,Orange
14,Green,Azure,Navy blue,Khaki,Orange,Magenta,Magenta,Brown,Teal,White
15,Olive,Wheat,Maroon,Hot pink,Aquamarine,Gray,Olden,Yellow,Blue,Blue
16,Magenta,Charcoal,Coral,Lime,Olive,Khaki,Orange,Charcoal,Teal,Purple
17,Yellow,Purple,Coral,Lime,White,White,Pea green,Magenta,Brown,Maroon
18,Silver,Brown,Navy blue,Khaki,Orange,Red,Aquamarine,Pea green,Magenta,Silver
19,Khaki,Azure,Fuchsia,Cyan,Red,Magenta,Maroon,Ivory,Coral,White
20,Coral,Fuchsia,Olden,Wheat,Yellow,Silver,Charcoal,Purple,Crimson,Ivory
21,Pea green,Red,Plum,Cyan,Aquamarine,Lime,Lime,Cyan,Ivory,Hot pink
22,Brown,Brown,White,Hot pink,Khaki,Orange,Hot pink,Black,Navy blue,Silver
23,Hot pink,Crimson,Hot pink,Cyan,Olden,Cyan,Cyan,Yellow,Teal,White
24,Orange,Lime,Crimson,Black,Fuchsia,Teal,Orange,Black,Azure,Purple
25,Fuchsia,Brown,Charcoal,Crimson,Plum,Magenta,Brown,Pea green,Blue,Gray
26,Plum,Silver,Charcoal,Cyan,Brown,Gray,Green,Magenta,Hot pink,Black
27,Fuchsia,Blue,Khaki,Charcoal,Red,Purple,Purple,Cyan,Hot pink,Lime
28,Silver,Yellow,Green,Wheat,Silver,Maroon,Red,Charcoal,Orange,Plum
29,Crimson,Fuchsia,Coral,Maroon,White,Gray,Green,Maroon,Fuchsia,Maroon
30,Blue,White,Fuchsia,Blue,Olden,Pea green,Gray,Charcoal,Black,Purple
31,Yellow,Silver,Olden,Ivory,Olden,Lime,Magenta,Cyan,Navy blue,Navy blue
32,Charcoal,Crimson,Hot pink,Pea green,Aquamarine,Olden,Maroon,Yellow,Blue,Crimson
33,Orange,Maroon,Orange,Black,Coral,Fuchsia,Khaki,Aquamarine,Pea green,Red
34,Purple,Navy blue,Magenta,Crimson,Wheat,Red,Silver,Charcoal,Crimson,Black
35,Orange,Coral,Coral,Coral,Magenta,Crimson,Green,Yellow,Coral,Magenta
36,White,Plum,Navy blue,Blue,Brown,Wheat,Purple,Black,Navy blue,Navy blue
37,Ivory,Olden,Silver,Maroon,Yellow,Wheat,Navy blue,Aquamarine,Yellow,Silver
38,Pea green,Pea green,Hot pink,Pea green,Olive,Aquamarine,White,Olden,Charcoal,Red
39,Olden,Green,Blue,Teal,Aquamarine,Plum,Green,Aquamarine,Plum,Coral
40,Olive,Blue,Purple,Silver,Black,Magenta,Fuchsia,Aquamarine,Yellow,Aquamarine
41,Orange,Red,Maroon,Olden,Blue,Black,Brown,Silver,Navy blue,Wheat
42,Olive,Wheat,Ivory,Blue,Charcoal,Ivory,Gray,Olden,Hot pink,Lime
43,Coral,Orange,Hot pink,Fuchsia,Khaki,Maroon,Charcoal,Cyan,Aquamarine,Pea green
44,Silver,Azure,Charcoal,Red,Teal,Wheat,Fuchsia,Hot pink,Khaki,Orange
45,Navy blue,Teal,Ivory,Charcoal,Gray,Olive,Ivory,Brown,Red,Cyan
46,Azure,Yellow,Cyan,Lime,Khaki,Teal,Wheat,Yellow,Olive,Azure
47,Charcoal,Teal,Maroon,Wheat,White,Aquamarine,Azure,Brown,Orange,Ivory
48,Pea green,Azure,Olive,Black,Teal,Orange,Crimson,Black,Khaki,Hot pink
49,Lime,Ivory,Aquamarine,Aquamarine,Gray,Wheat,Aquamarine,Cyan,Red,Maroon
50,Coral,Green,Fuchsia,Lime,Crimson,Teal,Lime,Teal,Black,Silver
51,Fuchsia,Blue,Plum,Navy blue,Wheat,Gray,Teal,Olive,Cyan,Olive
52,Teal,Red,Navy blue,Coral,Wheat,Khaki,Brown,Olden,Pea green,Magenta
53,Maroon,Olive,Yellow,Wheat,Crimson,Crimson,Magenta,Cyan,Charcoal,Pea green
54,Fuchsia,Crimson,Coral,Purple,Orange,Fuchsia,Purple,Fuchsia,Crimson,Magenta
55,Purple,Black,Wheat,Black,Magenta,Fuchsia,Aquamarine,Ivory,Pea green,Khaki
56,Ivory,Brown,Fuchsia,Yellow,White,Aquamarine,Plum,Purple,Cyan,Aquamarine
57,Gray,Ivory,Charcoal,Purple,Silver,Aquamarine,Fuchsia,Cyan,Orange,Khaki
58,Yellow,Fuchsia,Khaki,Olden,Blue,Pea green,Azure,Yellow,Crimson,Crimson
59,Azure,Orange,White,Coral,Purple,Hot pink,Crimson,Olive,Hot pink,Gray
60,Charcoal,Maroon,Navy blue,Hot pink,Fuchsia,Blue,Blue,Hot pink,Black,Hot pink
61,Crimson,Maroon,Aquamarine,Lime,Fuchsia,Yellow,Teal,Wheat,Lime,Fuchsia
62,Hot pink,Azure,Teal,Aquamarine,Purple,Hot pink,Red,Cyan,Green,Olive
63,Black,Pea green,Magenta,Teal,Fuchsia,Silver,Orange,Cyan,Crimson,Maroon
64,Green,Navy blue,Yellow,White,Green,Orange,Coral,Maroon,Lime,Fuchsia
65,Crimson,Yellow,Black,Khaki,Orange,Navy blue,Pea green,Blue,Olive,Khaki
66,Aquamarine,Black,Red,Blue,Cyan,Cyan,Black,Teal,Lime,Yellow
67,Wheat,Cyan,Teal,Olden,Orange,Purple,Green,White,Hot pink,Olden
68,Teal,Gray,Wheat,Khaki,Orange,Fuchsia,White,Fuchsia,Silver,Yellow
69,Hot pink,Orange,Olden,Maroon,Teal,Charcoal,Crimson,Teal,Olden,Purple
70,Olive,Aquamarine,Green,Charcoal,Crimson,Lime,Wheat,White,Green,Cyan
71,Aquamarine,Brown,Olden,Magenta,Wheat,Hot pink,Crimson,Purple,Teal,Pea green
72,Crimson,Teal,Green,Coral,Olden,Yellow,Pea green,Red,Black,Red
73,Crimson,Teal,Purple,Khaki,White,Silver,Olden,Khaki,Black,Crimson
74,Blue,Coral,Khaki,Fuchsia,Purple,Red,Fuchsia,Pea green,Ivory,Yellow
75,Red,Black,Maroon,Fuchsia,Brown,Navy blue,Red,Khaki,Pea green,Khaki
76,Wheat,Wheat,Azure,Coral,Teal,Aquamarine,Green,Black,Wheat,Silver
77,Magenta,Pea green,Teal,Navy blue,Coral,White,Yellow,Olden,White,Magenta
78,Red,Maroon,Teal,Cyan,Ivory,Silver,Lime,Pea green,Hot pink,Charcoal
79,Gray,Olden,Teal,Olden,Brown,Pea green,Fuchsia,Aquamarine,Yellow,Black
80,Red,Crimson,Cyan,Khaki,Ivory,Fuchsia,Wheat,Navy blue,Khaki,Silver
81,Orange,Orange,Azure,Lime,Crimson,Charcoal,Olive,Blue,Teal,Brown
82,Maroon,Purple,Maroon,Silver,Lime,Crimson,Red,Purple,Plum,Coral
83,Navy blue,Wheat,Silver,Plum,Purple,Hot pink,Maroon,Lime,Green,Azure
84,Green,Magenta,Hot pink,Navy blue,Fuchsia,Red,Olive,Coral,Maroon,Crimson
85,Orange,Khaki,Black,Purple,Black,Plum,Hot pink,Magenta,Teal,Brown
86,Green,Gray,Aquamarine,Wheat,Aquamarine,Pea green,Teal,Pea green,Coral,Ivory
87,Magenta,White,Olden,Aquamarine,Green,White,Brown,Navy blue,Navy blue,Magenta
88,Green,Cyan,Maroon,Khaki,Green,Brown,Cyan,Green,Brown,Teal
89,Navy blue,Blue,Ivory,White,Maroon,Teal,Pea green,Gray,Red,Plum
90,Crimson,White,Plum,Red,Khaki,Aquamarine,Brown,Aquamarine,Navy blue,Ivory
91,Blue,Crimson,Olden,Teal,Black,Ivory,Hot pink,Green,Gray,Orange
92,Olive,Teal,Khaki,Plum,Crimson,Crimson,Brown,Fuchsia,Gray,Olive
93,Charcoal,Silver,Blue,Brown,Brown,Wheat,Plum,White,Khaki,Purple
94,Crimson,Azure,Coral,Teal,Charcoal,Cyan,Khaki,Green,Olden,Hot pink
95,Aquamarine,Khaki,Crimson,Cyan,White,Navy blue,Plum,Purple,Wheat,Silver
96,Maroon,Crimson,Fuchsia,Teal,Azure,Gray,Green,Teal,Purple,Yellow
97,Aquamarine,Ivory,Purple,Hot pink,Ivory,Fuchsia,Plum,Khaki,Khaki,Green
98,Olden,Teal,Khaki,Fuchsia,Khaki,Coral,Cyan,Pea green,Khaki,Blue
99,Gray,Olden,Lime,Magenta,Blue,Orange,Orange,Ivory,Purple,Coral
100,Orange,Red,Yellow,Fuchsia,Olden,Hot pink,Olive,Red,Navy blue,Green
101,Hot pink,Hot pink,Charcoal,Purple,Purple,Crimson,Lime,Pea green,Green,Plum
102,Azure,Navy blue,Aquamarine,Fuchsia,Azure,Khaki,Cyan,Brown,Navy blue,Fuchsia
103,Maroon,Fuchsia,Yellow,Khaki,Brown,Navy blue,Yellow,White,Silver,Fuchsia
104,Gray,Lime,Purple,Brown,Fuchsia,Red,Black,White,Aquamarine,Blue
105,White,Brown,Silver,Cyan,Plum,Olive,Purple,Red,Teal,Hot pink
