,A,B,C,D,E,F,G,H,I,J
0,Teal,Yellow,Green,Aquamarine,Fuchsia,Olden,Gray,Plum,Plum,Crimson
1,Charcoal,Red,Gray,Yellow,Plum,Pea green,Yellow,White,Coral,Hot pink
2,Ivory,Red,Teal,Khaki,Yellow,Aquamarine,Wheat,Green,Azure,Purple
3,Charcoal,Red,Purple,White,Red,Green,Gray,Lime,Teal,Magenta
4,Fuchsia,Green,Aquamarine,Magenta,Navy blue,Lime,Teal,Silver,Purple,Cyan
5,Magenta,Khaki,Orange,Khaki,Red,Gray,Lime,Gray,Fuchsia,Maroon
6,Magenta,Pea green,Blue,Green,Olden,Wheat,Wheat,Khaki,Yellow,Cyan
7,Aquamarine,Ivory,Purple,Yellow,Blue,Blue,Charcoal,Azure,Olden,Navy blue
8,Olden,Coral,Azure,Azure,Navy blue,Plum,Brown,Charcoal,Teal,Hot pink
9,Black,White,Azure,Silver,Cyan,Gray,Maroon,Azure,Green,Yellow
10,Gray,Plum,Olden,Pea green,Silver,Pea green,Khaki,Crimson,Red,Olden
11,Aquamarine,Cyan,Blue,Khaki,Coral,Olive,Pea green,Hot pink,Brown,Aquamarine
12,Azure,Green,Coral,Ivory,Charcoal,Orange,Olden,Lime,Crimson,Cyan
13,Gray,Gray,Plum,Fuchsia,Crimson,Purple,Magenta,Gray,Hot pink,Ivory
14,Plum,Crimson,Crimson,Black,Blue,Yellow,Red,Yellow,Gray,Charcoal
15,Aquamarine,Pea green,Aquamarine,Gray,Charcoal,Wheat,Magenta,Navy blue,Olden,Gray
16,Blue,Purple,Hot pink,Black,Khaki,Cyan,Red,Charcoal,Black,Aquamarine
17,Wheat,Wheat,Magenta,Pea green,Black,Crimson,Plum,Cyan,Orange,Teal
18,Pea green,Purple,Lime,Pea green,Brown,Ivory,Azure,Khaki,Crimson,Lime
19,Fuchsia,Brown,Khaki,Olden,Crimson,Green,Crimson,Red,Crimson,Ivory
20,White,Navy blue,Wheat,Purple,Crimson,Teal,Fuchsia,Teal,Lime,Cyan
21,Lime,Olive,Red,Wheat,Blue,Purple,Teal,Black,Teal,Red
22,Black,Maroon,Brown,Azure,Wheat,Red,Azure,Brown,Purple,White
23,Wheat,Ivory,Teal,Wheat,Fuchsia,Cyan,Purple,Orange,Hot pink,Wheat
24,Crimson,Ivory,White,Yellow,Magenta,Wheat,Green,Plum,Teal,Magenta
25,Azure,Gray,Hot pink,Brown,Magenta,Olive,Ivory,Cyan,Hot pink,Black
26,Azure,Hot pink,Coral,Plum,Green,Crimson,Purple,Wheat,Green,Orange
27,Maroon,Brown,Orange,Plum,Khaki,Gray,Plum,Maroon,Plum,Cyan
28,Magenta,Azure,Khaki,Silver,Crimson,Coral,Blue,Teal,Crimson,Charcoal
29,Gray,Fuchsia,Gray,Navy blue,Orange,Coral,Lime,Charcoal,Teal,Khaki
30,Magenta,Magenta,Wheat,Yellow,Teal,Aquamarine,Gray,Silver,Silver,Coral
31,Gray,Blue,Teal,Hot pink,Lime,Black,Lime,Plum,Olden,Green
32,White,Lime,Crimson,Plum,Brown,Brown,Coral,Charcoal,Pea green,Yellow
33,Olive,Red,Charcoal,Green,Maroon,Charcoal,Ivory,Brown,Olden,Pea green
34,Maroon,Green,Olive,Aquamarine,Plum,Silver,Green,Charcoal,Green,Silver
35,Plum,Teal,Khaki,Wheat,Ivory,Coral,Coral,Orange,Olive,Ivory
36,Charcoal,Hot pink,Charcoal,Black,Ivory,Coral,Green,Plum,Brown,Wheat
37,Gray,Khaki,Blue,Olive,Silver,Pea green,Maroon,Pea green,Pea green,Fuchsia
38,Cyan,Ivory,Maroon,Teal,Black,Purple,Brown,Ivory,Plum,Blue
39,Black,Olive,Crimson,Aquamarine,Teal,Pea green,Coral,Red,Azure,Purple
40,Hot pink,Gray,Wheat,Fuchsia,Pea green,Khaki,Crimson,Red,Cyan,Charcoal
41,Pea green,Green,Lime,Blue,Olive,Cyan,Cyan,Maroon,Coral,Black
42,Magenta,Blue,Blue,Aquamarine,Teal,Fuchsia,Cyan,White,Charcoal,Blue
43,Cyan,Navy blue,Coral,Charcoal,Lime,Gray,Lime,Magenta,Magenta,Maroon
44,Cyan,Azure,Lime,Aquamarine,Hot pink,White,Olden,Khaki,Aquamarine,Wheat
45,Hot pink,Azure,Green,Blue,Charcoal,Lime,Wheat,Wheat,Silver,Navy blue
46,Red,Plum,Blue,Crimson,Brown,Charcoal,Fuchsia,Ivory,Purple,Navy blue
47,Wheat,Gray,Brown,White,White,Purple,Plum,Crimson,Yellow,Olden
48,Orange,Cyan,Green,Red,Aquamarine,Yellow,Charcoal,Khaki,Olden,Crimson
49,Khaki,Olden,Red,Orange,Lime,Green,Yellow,Navy blue,Coral,Cyan
